APPL_ID,ACC_DATE,Riparian,Pre1914
S008201,08/22/1973,Y,
S009560,03/07/1978,Y,
S009564,03/13/1978,Y,
S009642,10/10/1978,Y,
S009676,12/07/1978,Y,
S009697,01/15/1979,Y,
S012627,12/27/1985,Y,
S008650,01/01/1975,Y,
S002198,01/01/1967,Y,
S002208,01/01/1967,Y,
S009857,05/07/1979,Y,
S009893,05/07/1979,Y,
S009897,05/29/1979,Y,Y
S009923,06/06/1979,Y,
S016081,10/24/2007,Y,
S015972,04/18/2006,Y,
S016867,06/29/2010,Y,
S017032,07/13/2011,Y,Y
S016797,07/06/2011,Y,
S016973,07/02/2010,Y,
S017054,06/30/2010,Y,Y
S017304,08/09/2011,Y,Y
S017303,08/09/2011,Y,Y
S018970,06/30/2010,Y,Y
S017193,07/13/2011,Y,Y
S017043,06/25/2010,Y,Y
S015954,08/18/2005,Y,
S016304,02/09/2009,Y,
S018980,06/30/2010,Y,
S019127,06/24/2010,Y,Y
S020488,09/04/2012,Y,Y
S021795,09/05/2012,Y,Y
S020113,09/27/2011,Y,Y
S018880,11/16/2011,Y,Y
S019374,11/30/2011,Y,Y
S018383,11/03/2011,Y,
S019737,12/20/2011,Y,Y
S022085,10/02/2012,Y,
S019113,11/16/2011,Y,Y
S020532,12/22/2011,Y,Y
S018755,01/31/2012,Y,Y
S016600,03/14/2012,Y,
UN000199,,Y,
S016543,03/28/2012,Y,
S021313,08/07/2012,Y,Y
S022045,09/27/2012,Y,Y
S019320,11/28/2011,Y,Y
S019349,11/29/2011,Y,Y
S022430,01/18/2013,Y,
S022200,10/18/2012,Y,
S022296,11/05/2012,Y,
S022333,11/15/2012,Y,
S021287,08/03/2012,Y,Y
S022478,02/26/2013,Y,Y
S017450,04/12/2012,Y,
S017535,04/20/2012,Y,
S019287,01/18/2012,Y,
S019462,12/15/2011,Y,Y
S022882,08/07/2013,Y,
S023227,09/26/2013,Y,Y
S020046,12/27/2011,Y,Y
S023773,11/26/2013,Y,
S021106,07/11/2012,Y,Y
S019152,11/18/2011,Y,
S017480,01/25/2012,Y,Y
S017410,04/11/2012,Y,
S020469,12/21/2011,Y,Y
S018767,01/31/2012,Y,
S023149,09/13/2013,Y,
S023782,11/26/2013,Y,Y
S019061,12/14/2011,Y,Y
S020083,07/11/2012,Y,
S022816,07/19/2013,Y,
S023650,10/28/2013,Y,
S016541,03/27/2012,Y,
S021017,04/10/2012,Y,Y
S023692,10/31/2013,Y,
S023047,08/29/2013,Y,
S023134,09/11/2013,Y,Y
S019683,12/21/2011,Y,Y
S019034,01/05/2012,Y,
S023877,12/09/2013,Y,Y
S020548,12/22/2011,Y,Y
S021407,08/09/2012,Y,Y
S021567,08/22/2012,Y,
S021428,08/10/2012,Y,Y
S021712,08/31/2012,Y,
S022191,10/18/2012,Y,
S022320,11/13/2012,Y,Y
S019741,12/20/2011,Y,Y
S016695,03/23/2012,Y,
S018990,01/03/2012,Y,Y
S022261,10/24/2012,Y,
S021926,09/18/2012,Y,
S023609,10/22/2013,Y,
S022306,11/06/2012,Y,Y
S018399,06/21/2012,Y,
S022856,07/26/2013,Y,
S023270,09/27/2013,Y,
S018023,10/24/2010,Y,Y
S018750,01/31/2012,Y,Y
S021874,09/14/2012,Y,
S020435,12/20/2011,Y,Y
S018565,01/27/2012,Y,Y
S017967,10/24/2011,Y,Y
S017693,04/19/2012,Y,
S017758,05/15/2012,Y,
S018105,05/30/2012,Y,
S017820,05/11/2012,Y,
S020910,12/21/2011,Y,
S017780,09/15/2011,Y,Y
S018517,01/09/2012,Y,Y
S017980,10/25/2011,Y,Y
S025108,08/03/2015,Y,
S025015,07/20/2015,Y,
S025265,11/17/2015,Y,
S025213,09/22/2015,Y,
S025231,10/13/2015,Y,
S025243,10/28/2015,Y,
S024335,02/10/2014,Y,
S024835,05/11/2015,Y,
S024003,12/26/2013,Y,
S025035,07/22/2015,Y,
S025095,07/31/2015,Y,
S025131,08/06/2015,Y,
S025186,09/04/2015,Y,
S024203,01/21/2014,Y,Y
S024565,08/26/2014,Y,
S024797,04/28/2015,Y,
S024948,07/09/2015,Y,
S025826,10/10/2016,Y,
S025812,09/28/2016,Y,
S025974,01/04/2017,Y,
S025438,04/26/2016,Y,
S025542,07/25/2016,Y,
S026013,02/16/2017,Y,
S027085,08/31/2017,Y,
S027101,09/01/2017,Y,
S027232,09/14/2017,Y,
S027237,09/14/2017,Y,
S028031,11/28/2018,Y,
S027430,10/19/2017,Y,
S027568,11/17/2017,Y,
S027621,12/27/2017,Y,Y
S028067,12/28/2018,Y,Y
S026379,07/17/2017,Y,
S026549,07/28/2017,Y,
S026917,08/22/2017,Y,
S027877,08/06/2018,Y,
S028183,07/25/2019,Y,
S027178,09/08/2017,Y,
S026768,08/10/2017,Y,
S027734,05/25/2018,Y,
S026417,07/18/2017,Y,
S026420,07/18/2017,Y,
S026674,08/04/2017,Y,
S026746,08/09/2017,Y,
S027487,11/01/2017,Y,
S027795,07/16/2018,Y,
S026870,08/17/2017,Y,
S026887,08/18/2017,Y,
S028070,01/14/2019,Y,
