"","APPL_ID"
"1402","S018431"
"1403","S020988"
"1404","S018947"
"1405","S021280"
"1406","S020790"
"1407","S018025"
"1408","A025962"
"1409","A029913"
"1410","A008213"
"1411","A009603"
"1412","S000315"
"1413","S014984"
"1414","C004433"
"1415","A017858"
"1416","A023411"
"1417","A022826"
"1418","S013650"
"1419","A029528"
"1420","A023995"
"1421","A027512"
"1422","A006834"
"1423","S001877"
"1424","A009293"
"1425","C003987"
"1426","A024696"
"1427","C002023"
"1428","A028264"
"1429","S016916"
"1430","L031351"
"1431","S016630"
"1432","S021839"
"1433","S019188"
"1434","D031456A"
"1435","S024302"
"1436","S024310"
"1437","S024315"
"1438","S024324"
"1439","S021975"
"1440","A013339"
"1441","C001924"
"1442","S012455"
"1443","S020226"
"1444","S016548"
"1445","C000017"
"1446","C002140"
"1447","C004601"
"1448","A012411"
"1449","S008396"
"1450","S008092"
"1451","S000365"
"1452","S001802"
"1453","A007611"
"1454","A029726"
"1455","C004141"
"1456","A005630"
"1457","D030608R"
"1458","A023364"
"1459","A017066"
"1460","A006096"
"1461","A014228"
"1462","F004542S"
"1463","A018847"
"1464","A013676"
"1465","A019409"
"1466","S002102"
"1467","A022296"
"1468","S000240"
"1469","A022172"
"1470","A019597"
"1471","S013667"
"1472","F008324S"
"1473","S001859"
"1474","C005828"
"1475","A028901"
"1476","S014838"
"1477","A028894"
"1478","S002998"
"1479","A012296"
"1480","A013095"
"1481","A008132"
"1482","F026209"
"1483","F026208"
"1484","A020916"
"1485","A008871"
"1486","A003613"
"1487","C000050"
"1488","C000039"
"1489","A012842"
"1490","A021427"
"1491","S012858"
"1492","C004132"
"1493","A014621"
"1494","S003210"
"1495","S009323"
"1496","A017954"
"1497","S012861"
"1498","S013623"
"1499","A024110"
"1500","A028457"
"1501","S013624"
"1502","A020712"
"1503","A016376"
"1504","A013488"
"1505","S014375"
"1506","A016450"
"1507","C002119"
"1508","A012539"
"1509","A015272"
"1510","A002955"
"1511","A012717B"
"1512","A012717C"
"1513","A012717"
"1514","A003518"
"1515","A006264"
"1516","A009764"
"1517","A005648C09"
"1518","C005272"
"1519","A025808"
"1520","A025857"
"1521","C001617"
"1522","A004341"
"1523","A005648C02"
"1524","A017481"
"1525","A004942"
"1526","C002367"
"1527","A017654"
"1528","A018384"
"1529","A002951"
"1530","A029063"
"1531","A022966"
"1532","A025516"
"1533","A004635"
"1534","A015545"
"1535","A017810"
"1536","A004537"
"1537","A027339"
"1538","A031156"
"1539","A014585"
"1540","A004568"
"1541","A010215"
"1542","A010215"
"1543","A004945"
"1544","A009519"
"1545","A006397"
"1546","A010903"
"1547","A011694"
"1548","A010233"
"1549","A017686"
"1550","A011788"
"1551","S010258"
"1552","A026711"
"1553","A013239"
"1554","A017681"
"1555","S005235"
"1556","A012536A"
"1557","C002371"
"1558","T030027"
"1559","A002952"
"1560","S013554"
"1561","S000404"
"1562","A017950"
"1563","A019194"
"1564","A005153A"
"1565","A005153B"
"1566","A004991"
"1567","A004569"
"1568","A016749"
"1569","A004942"
"1570","A015898"
"1571","A012239"
"1572","A006712"
"1573","A020245"
"1574","A008633"
"1575","A018502"
"1576","C002924"
"1577","A023256"
"1578","C002925"
"1579","A008869"
"1580","A010859"
"1581","A003769"
"1582","C005298"
"1583","S014832"
"1584","A031192"
"1585","C000069"
"1586","C005530"
"1587","A017898"
"1588","A025496"
"1589","A012897"
"1590","A011644"
"1591","A027555"
"1592","C001595"
"1593","A019936"
"1594","A025481"
"1595","A014907"
"1596","C002611"
"1597","D031148R"
"1598","S013192"
"1599","S014751"
"1600","A020292B"
"1601","A017491"
"1602","A019573"
"1603","A029155"
"1604","A019573"
"1605","A004991"
"1606","S000384"
"1607","A025389"
"1608","S011039"
"1609","C002007"
"1610","C000838"
"1611","C002496"
"1612","C002494"
"1613","A013439"
"1614","A026916"
"1615","A026612"
"1616","A018621"
"1617","A024444"
"1618","S009969"
"1619","A018482"
"1620","A022973"
"1621","S012865"
"1622","S009499"
"1623","S004454"
"1624","A021777"
"1625","A030539"
"1626","C001089"
"1627","S008818"
